Module,Endpoint,Method,Scenario,StatusCode,ElapsedMs,Result,Summary
health,/api/health,GET,no_auth,200,5.2,PASS,"Health Basic"
health,/api/health,GET,with_auth,200,5.4,PASS,"Health Basic"
health,/api/health,GET,bad_params,200,5.0,WARN,"Health Basic"
health,/api/health,GET,wrong_auth,200,4.9,PASS,"Health Basic"
health,/api/v1/health,GET,no_auth,200,4.9,PASS,"Health Basic"
health,/api/v1/health,GET,with_auth,200,4.9,PASS,"Health Basic"
health,/api/v1/health,GET,bad_params,200,7.3,WARN,"Health Basic"
health,/api/v1/health,GET,wrong_auth,200,5.2,PASS,"Health Basic"
health,/api/health/ready,GET,no_auth,200,13.9,PASS,"Health Ready"
health,/api/health/ready,GET,with_auth,200,14.7,PASS,"Health Ready"
health,/api/health/ready,GET,bad_params,200,15.9,WARN,"Health Ready"
health,/api/health/ready,GET,wrong_auth,200,13.0,PASS,"Health Ready"
health,/api/v1/health/ready,GET,no_auth,200,12.9,PASS,"Health Ready"
health,/api/v1/health/ready,GET,with_auth,200,13.4,PASS,"Health Ready"
health,/api/v1/health/ready,GET,bad_params,200,12.9,WARN,"Health Ready"
health,/api/v1/health/ready,GET,wrong_auth,200,12.6,PASS,"Health Ready"
health,/api/health/live,GET,no_auth,200,1.3,PASS,"Health Live"
health,/api/health/live,GET,with_auth,200,1.2,PASS,"Health Live"
health,/api/health/live,GET,bad_params,200,1.2,WARN,"Health Live"
health,/api/health/live,GET,wrong_auth,200,1.2,PASS,"Health Live"
health,/api/v1/health/live,GET,no_auth,200,1.3,PASS,"Health Live"
health,/api/v1/health/live,GET,with_auth,200,1.1,PASS,"Health Live"
health,/api/v1/health/live,GET,bad_params,200,1.3,WARN,"Health Live"
health,/api/v1/health/live,GET,wrong_auth,200,1.1,PASS,"Health Live"
health,/api/v1/health/metrics-summary,GET,no_auth,200,5.6,PASS,"Health Metrics Summary"
health,/api/v1/health/metrics-summary,GET,with_auth,200,7.0,PASS,"Health Metrics Summary"
health,/api/v1/health/metrics-summary,GET,bad_params,200,5.6,WARN,"Health Metrics Summary"
health,/api/v1/health/metrics-summary,GET,wrong_auth,200,5.3,PASS,"Health Metrics Summary"
robustness,/api/v1/robustness/stats,GET,no_auth,200,1.8,PASS,"Robustness Stats"
robustness,/api/v1/robustness/stats,GET,with_auth,200,1.4,PASS,"Robustness Stats"
robustness,/api/v1/robustness/stats,GET,bad_params,200,1.1,WARN,"Robustness Stats"
robustness,/api/v1/robustness/stats,GET,wrong_auth,200,1.1,PASS,"Robustness Stats"
3d,/api/3d/scenes,GET,no_auth,200,1.3,PASS,"List Scenes"
3d,/api/3d/scenes,GET,with_auth,200,1.2,PASS,"List Scenes"
3d,/api/3d/scenes,GET,bad_params,200,1.3,WARN,"List Scenes"
3d,/api/3d/scenes,GET,wrong_auth,200,1.2,PASS,"List Scenes"
3d,/api/3d/scenes,POST,no_auth,422,20.9,PASS,"Create Scene"
3d,/api/3d/scenes,POST,with_auth,422,17.9,PASS,"Create Scene"
3d,/api/3d/scenes,POST,bad_params,200,19.7,WARN,"Create Scene"
3d,/api/3d/scenes,POST,wrong_auth,422,16.0,PASS,"Create Scene"
3d,/api/3d/scenes/{scene_id},GET,no_auth,404,2.2,PASS,"Get Scene"
3d,/api/3d/scenes/{scene_id},GET,with_auth,404,1.7,PASS,"Get Scene"
3d,/api/3d/scenes/{scene_id},GET,bad_params,404,2.3,PASS,"Get Scene"
3d,/api/3d/scenes/{scene_id},GET,wrong_auth,404,1.6,PASS,"Get Scene"
3d,/api/3d/scenes/{scene_id},PUT,no_auth,422,17.3,PASS,"Update Scene"
3d,/api/3d/scenes/{scene_id},PUT,with_auth,422,17.6,PASS,"Update Scene"
3d,/api/3d/scenes/{scene_id},PUT,bad_params,404,17.1,PASS,"Update Scene"
3d,/api/3d/scenes/{scene_id},PUT,wrong_auth,422,16.6,PASS,"Update Scene"
3d,/api/3d/scenes/{scene_id},DELETE,no_auth,404,18.1,PASS,"Delete Scene"
3d,/api/3d/scenes/{scene_id},DELETE,with_auth,404,17.1,PASS,"Delete Scene"
3d,/api/3d/scenes/{scene_id},DELETE,bad_params,404,17.8,PASS,"Delete Scene"
3d,/api/3d/scenes/{scene_id},DELETE,wrong_auth,404,17.5,PASS,"Delete Scene"
3d,/api/3d/scenes/{scene_id}/avatars,POST,no_auth,422,17.8,PASS,"Add Avatar"
3d,/api/3d/scenes/{scene_id}/avatars,POST,with_auth,422,17.3,PASS,"Add Avatar"
3d,/api/3d/scenes/{scene_id}/avatars,POST,bad_params,404,18.2,PASS,"Add Avatar"
3d,/api/3d/scenes/{scene_id}/avatars,POST,wrong_auth,422,17.1,PASS,"Add Avatar"
3d,/api/3d/scenes/{scene_id}/avatars/{avatar_id},DELETE,no_auth,404,16.1,PASS,"Remove Avatar"
3d,/api/3d/scenes/{scene_id}/avatars/{avatar_id},DELETE,with_auth,404,19.6,PASS,"Remove Avatar"
3d,/api/3d/scenes/{scene_id}/avatars/{avatar_id},DELETE,bad_params,404,17.9,PASS,"Remove Avatar"
3d,/api/3d/scenes/{scene_id}/avatars/{avatar_id},DELETE,wrong_auth,404,20.1,PASS,"Remove Avatar"
3d,/api/3d/cameras/presets,GET,no_auth,200,1.5,PASS,"List Camera Presets"
3d,/api/3d/cameras/presets,GET,with_auth,200,1.4,PASS,"List Camera Presets"
3d,/api/3d/cameras/presets,GET,bad_params,200,1.2,WARN,"List Camera Presets"
3d,/api/3d/cameras/presets,GET,wrong_auth,200,1.2,PASS,"List Camera Presets"
3d,/api/3d/scenes/{scene_id}/cameras,POST,no_auth,422,17.8,PASS,"Add Camera"
3d,/api/3d/scenes/{scene_id}/cameras,POST,with_auth,422,15.7,PASS,"Add Camera"
3d,/api/3d/scenes/{scene_id}/cameras,POST,bad_params,404,20.1,PASS,"Add Camera"
3d,/api/3d/scenes/{scene_id}/cameras,POST,wrong_auth,422,15.3,PASS,"Add Camera"
3d,/api/3d/scenes/{scene_id}/cameras/{camera_id},DELETE,no_auth,404,18.7,PASS,"Remove Camera"
3d,/api/3d/scenes/{scene_id}/cameras/{camera_id},DELETE,with_auth,404,15.7,PASS,"Remove Camera"
